Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,BOP,Pos,Event,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,5/9/2012,Marlon Byrd,BOS,@KCR,Jonathan Broxton,down 4-3,-1,-1,8,8,Out,t9,12-,0,4(2-1),0,0.01,-0.09,5.43,Bunt Groundout: 1B-2B/Sacrifice (Front of Home); McDonald to 3B; Saltalamacchia to 2B
2,1,8/7/2012,Roger Bernadina,WSN,@HOU,Mickey Storey,tied 2-2,0,1,6,8,Out,t12,-2-,0,1(0-0),0,0,-0.17,2.67,Bunt Groundout: 3B-1B/Sacrifice; Izturis to 3B
3,1,9/26/2012,Peter Bourjos,LAA,SEA,Stephen Pryor,tied 3-3,0,1,9,8,Out,b9,-2-,0,4(2-1),0,0.02,-0.16,2.64,Bunt Groundout: C-2B/Sacrifice (Front of Home); Izturis to 3B
4,1,4/3/2013,Gerardo Parra,ARI,STL,Mitchell Boggs,down 9-8,-1,0,1,8,Out,b12,12-,0,1(0-0),0,0.03,-0.07,6.23,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Pennington to 3B; Chavez to 2B
5,1,4/28/2013,Coco Crisp,OAK,BAL,Pedro Strop,tied 8-8,0,1,1,8,RoE,b10,12-,0,1(0-0),0,0.19,1,3.32,*WALK-OFF*:*ENDED GAME*:Reached on E5 (throw to 2B)/attempted forceout/Sacrifice Bunt; Sogard Scores/unER/No RBI; Rosales to 2B
6,1,5/10/2013,Ben Revere,PHI,@ARI,David Hernandez,down 3-2,-1,-1,8,8,Out,t9,12-,0,1(0-0),0,0.01,-0.07,5.6,Bunt Groundout: 3B-2B/Sacrifice (Weak 3B); Brown to 3B; Mayberry to 2B
7,1,5/24/2013,Alejandro De Aza,CHW,MIA,Chad Qualls,tied 3-3,0,0,1,8,Out,b10,12-,0,3(2-0),0,0.03,-0.09,3.25,Bunt Groundout: C-2B/Sacrifice; Keppinger to 3B; Gimenez to 2B
8,1,5/25/2013,Dexter Fowler,COL,@SFG,Jeremy Affeldt,tied 4-4,0,0,1,8,Out,t9,12-,0,1(0-0),0,0.03,-0.06,3.92,Bunt Groundout: 1B-2B/Sacrifice (Front of Home); Young to 3B; Rosario to 2B
9,1,6/26/2013,Logan Schafer,MIL,CHC,Kevin Gregg,down 5-4,-1,-1,7,8,Out,b9,-2-,0,1(0-0),0,-0.03,-0.16,4.38,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Weeks to 3B
10,1,7/31/2013,Jacoby Ellsbury,BOS,SEA,Lucas Luetge,tied 4-4,0,0,1,8,Out,b14,-2-,0,2(0-1),0,0.02,-0.18,2.58,Bunt Groundout: P-2B/Sacrifice (Front of Home); Snyder to 3B
