Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,BOP,Pos,Event,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,5/5/2012,Chris Gimenez,TBR,OAK,Brian Fuentes,tied 3-3,0,0,8,2,Out,b11,-2-,0,4(2-1),0,0.02,-0.17,2.63,Bunt Groundout: 3B-1B/Sacrifice (Weak 3B); Rodríguez to 3B
2,1,5/11/2012,Yadier Molina,STL,ATL,Liván Hernández,tied 7-7,0,0,6,2,Out,b10,12-,0,1(0-0),0,0.03,-0.08,3.33,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Beltrán to 3B; Craig to 2B
3,1,7/5/2012,Josh Thole,NYM,PHI,Jonathan Papelbon,down 5-4,-1,1,7,2,Out,b9,-2-,0,2(1-0),0,-0.03,-0.16,4.38,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Cedeno to 3B
4,1,9/12/2012,Yadier Molina,STL,@SDP,Luke Gregerson,down 3-2,-1,-1,5,2,Out,t9,-2-,0,1(0-0),0,-0.03,-0.15,3.93,Bunt Groundout: P-1B/Sacrifice (Front of Home); Chambers to 3B
5,1,6/12/2013,Carlos Corporán,HOU,@SEA,Tom Wilhelmsen,down 1-0,-1,5,4,2,Out,t9,12-,0,2(0-1),0,0.01,-0.07,5.63,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Castro to 3B; Martinez to 2B
6,1,4/22/2014,Robinson Chirinos,TEX,@OAK,Luke Gregerson,down 4-3,-1,1,7,2,Out,t9,-2-,0,2(1-0),0,-0.03,-0.16,3.88,Bunt Groundout: 1B-2B/Sacrifice (Front of Home); Moreland to 3B
7,1,5/2/2014,Carlos Corporán,HOU,SEA,Charlie Furbush,tied 4-4,0,1,3,2,FC,b11,12-,0,3(1-1),0,0.13,0.85,3.34,Fielder's Choice P/Sacrifice Bunt; Altuve to 3B; Fowler to 2B
8,1,5/21/2014,Yadier Molina,STL,ARI,Evan Marshall,tied 2-2,0,0,5,2,Out,b10,12-,0,1(0-0),0,0.03,-0.07,3.39,Bunt Groundout: C-1B/Sacrifice (Front of Home); Holliday to 3B; Adams to 2B
9,1,8/24/2014,Curt Casali,TBR,@TOR,Casey Janssen,tied 1-1,0,0,8,2,Out,t9,12-,0,1(0-0),0,0.02,-0.08,3.79,Bunt Groundout: 1B-2B/Sacrifice (Short 1B Line); Myers to 3B; Escobar to 2B
10,1,9/5/2014,Carlos Ruiz,PHI,@WSN,Craig Stammen,tied 7-7,0,2,7,2,Out,t11,-2-,0,1(0-0),0,0,-0.16,2.69,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Brown to 3B
11,1,4/17/2015,Alex Avila,DET,CHW,Zach Duke,tied 1-1,0,1,7,2,Out,b9,-2-,0,1(0-0),0,0.02,-0.17,2.61,Bunt Groundout: 3B-2B/Sacrifice (Front of Home); Romine to 3B
12,1,4/24/2015,Hank Conger,HOU,@OAK,Eric O'Flaherty,tied 2-2,0,3,8,2,Out,t11,12-,0,1(0-0),0,0.02,-0.08,3.78,Bunt Groundout: P-2B/Sacrifice; Carter to 3B; Rasmus to 2B
13,1,6/2/2015,Carlos Ruiz,PHI,CIN,Tony Cingrani,tied 4-4,0,1,8,2,Out,b9,-2-,0,3(1-1),0,0.02,-0.16,2.66,Bunt Groundout: 3B-1B/Sacrifice (Weak 3B); Herrera to 3B
14,1,6/21/2015,Robinson Chirinos,TEX,@CHW,Jake Petricka,tied 2-2,0,0,7,2,Out,t11,12-,0,2(0-1),0,0.02,-0.08,3.79,Bunt Groundout: 1B-2B/Sacrifice; Rosales to 3B; Gallo to 2B
15,1,7/2/2015,Austin Hedges,SDP,@STL,Trevor Rosenthal,tied 3-3,0,0,7,2,Out,t9,-2-,0,1(0-0),0,0,-0.17,2.68,Bunt Groundout: P-2B/Sacrifice (Front of Home); Gyorko to 3B
16,1,7/19/2015,Kevin Plawecki,NYM,@STL,Carlos Martinez,tied 1-1,0,2,7,2,RoE,t18,12-,0,2(0-1),0,0.14,0.85,3.78,Reached on E1/Sacrifice Bunt (Bunt to Front of Home); Flores to 3B; Granderson to 2B
17,1,8/9/2015,Jarrod Saltalamacchia,ARI,CIN,Ryan Mattheus,tied 3-3,0,1,5,2,Out,b10,12-,0,2(0-1),0,0.03,-0.08,3.29,Bunt Groundout: P-2B/Sacrifice (Front of Home); Goldschmidt to 3B; Peralta to 2B
18,1,6/20/2016,Chris Iannetta,SEA,@DET,Aníbal Sánchez,tied 7-7,0,0,7,2,Out,t12,-2-,0,3(1-1),0,0,-0.18,2.63,Bunt Groundout: P-2B/Sacrifice (Front of Home); Lind to 3B
19,1,7/22/2016,Anthony Recker,ATL,@COL,Carlos Estévez,down 4-3,-1,-1,7,2,Out,t9,12-,0,2(1-0),0,0,-0.11,5.22,Bunt Groundout: P-2B/Sacrifice (Front of Home); García to 3B; Inciarte to 2B
20,1,7/26/2016,Chris Gimenez,CLE,WSN,Jonathan Papelbon,down 6-5,-1,1,8,2,RoE,b9,-2-,0,2(1-0),0,0.36,1,4.3,Reached on E3 (throw)/Sacrifice Bunt (Bunt to Short 1B Line); Naquin Scores/No RBI; Gimenez to 2B
21,1,8/30/2016,Martín Maldonado,MIL,STL,Matt Bowman,down 2-1,-1,-1,8,2,Out,b10,12-,0,1(0-0),0,0.02,-0.09,6.1,Bunt Groundout: P-2B/Sacrifice (Front of Home); Nieuwenhuis to 3B; Broxton to 2B
