Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,BOP,Pos,Event,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,4/18/2012,Freddy Galvis,PHI,@SFG,Sergio Romo,tied 0-0,0,0,8,4,Out,t11,-2-,0,1(0-0),0,0.01,-0.15,2.74,Bunt Groundout: P-2B/Sacrifice (Front of Home); Ruiz to 3B
2,1,5/8/2012,Jemile Weeks,OAK,TOR,Francisco Cordero,down 3-2,-1,4,1,4,Out,b9,-2-,0,1(0-0),0,-0.03,-0.17,4.37,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Taylor to 3B
3,1,8/10/2012,Howie Kendrick,LAA,SEA,Josh Kinney,tied 5-5,0,1,7,4,Out,b9,12-,0,1(0-0),0,0.03,-0.08,3.33,Bunt Groundout: P-1B/Sacrifice (Front of Home); Bourjos to 3B; Callaspo to 2B
4,1,6/8/2013,Jurickson Profar,TEX,@TOR,Brad Lincoln,tied 3-3,0,0,2,4,Out,t14,-2-,0,4(2-1),0,0,-0.18,2.65,Bunt Groundout: P-1B/Sacrifice (Front of Home); Andrus to 3B
5,1,6/15/2013,Mark Ellis,LAD,@PIT,Vin Mazzaro,tied 3-3,0,2,6,4,Out,t11,-2-,0,2(1-0),0,0.01,-0.14,2.75,Bunt Groundout: C-2B/Sacrifice (Front of Home); Ethier to 3B
6,1,8/2/2013,Elliot Johnson,KCR,@NYM,David Aardsma,down 2-1,-1,0,7,4,Out,t9,12-,0,1(0-0),0,0.01,-0.06,5.8,Bunt Groundout: P-2B/Sacrifice (Short 3B Line); Tejada to 3B; Escobar to 2B
7,1,8/22/2013,Steve Lombardozzi,WSN,@CHC,Michael Bowden,tied 4-4,0,1,8,4,Out,t13,-2-,0,2(0-1),0,0,-0.16,2.7,Bunt Groundout: C-2B/Sacrifice; Span to 3B
8,1,9/17/2013,Scooter Gennett,MIL,CHC,Justin Grimm,tied 3-3,0,1,6,4,RoE,b9,12-,0,3(0-2),0,0.13,0.85,3.35,Reached on E1/Sacrifice Bunt (Bunt to Front of Home); Bianchi to 3B; Gómez to 2B
9,1,4/2/2014,Neil Walker,PIT,CHC,Wesley Wright,tied 3-3,0,0,6,4,FC,b13,12-,0,1(0-0),0,0.13,0.85,3.4,Fielder's Choice P/Sacrifice Bunt; Álvarez to 3B; Martin to 2B; Walker to 1B
10,1,4/4/2014,Scooter Gennett,MIL,@BOS,Edward Mujica,tied 2-2,0,4,8,4,FC,t9,-2-,0,1(0-0),0,0.14,0.73,2.66,Fielder's Choice P/Sacrifice Bunt; Davis to 3B; Gennett to 1B
11,1,4/15/2014,Brandon Hicks,SFG,LAD,Jamey Wright,tied 2-2,0,0,8,4,Out,b10,12-,0,4(2-1),0,0.03,-0.06,3.46,Bunt Groundout: P-2B/Sacrifice (Short 3B Line); Blanco to 3B; Crawford to 2B
12,1,5/28/2014,Derek Dietrich,MIA,@WSN,Jerry Blevins,tied 4-4,0,4,2,4,Out,t10,12-,0,1(0-0),0,0.02,-0.07,3.8,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Lucas to 3B; Yelich to 2B
13,1,8/27/2014,Wilmer Flores,NYM,ATL,Craig Kimbrel,down 3-2,-1,-1,7,4,Out,b9,12-,0,1(0-0),0,0.03,-0.06,6.4,Bunt Groundout: P-2B/Sacrifice (Front of Home); Campbell to 3B; denDekker to 2B
14,1,9/1/2014,Ben Zobrist,TBR,BOS,Burke Badenhop,tied 3-3,0,1,1,4,Out,b10,12-,0,2(0-1),0,0.03,-0.07,3.37,Bunt Groundout: 1B-2B/Sacrifice (Front of Home); Rodríguez to 3B; Kiermaier to 2B
15,1,4/25/2015,Joe Panik,SFG,@COL,Brooks Brown,tied 4-4,0,1,4,4,FC,t11,3-Jan,1,1(0-0),1,0.17,0.73,5,Fielder's Choice 1B/Sacrifice Bunt; Aoki Scores; Pagán to 2B
