Cr#,Yr#,Gm#,Date,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,1,8/12/2014,BOS,@CIN,Mat Latos,down 2-1,-1,-1,W 3-2,7,2,Out/SH,T,t7,1--,0,2(0-1),0,-0.03,-0.18,2.96,Bunt Groundout: P-2B/Sacrifice (Front of Home); Bogaerts to 2B
2,2,1,8/16/2014,BOS,HOU,Kevin Chapman,ahead 6-7,1,4,W 10-7,9,2,Out/SH,T,b8,1--,0,1(0-0),0,-0.01,-0.2,0.79,Bunt Groundout: C-1B/Sacrifice (Front of Home); Bradley to 2B
3,3,1,8/26/2014,BOS,@TOR,Casey Janssen,tied 4-4,0,7,W 11-7,9,2,FC/SH,T,t11,1--,0,1(0-0),0,0.12,0.6,3.46,Fielder's Choice P/Sacrifice Bunt; Betts to 2B
4,4,1,9/5/2014,BOS,TOR,Casey Janssen,down 8-6,-2,1,W 9-8,9,2,1B,F,b10,12-,0,2(1-0),0,0.18,0.85,5.2,Single to 2B/Bunt (Bunt to Weak 2B); Betts to 3B; Bogaerts to 2B
5,5,1,6/19/2016,BOS,SEA,Nick Vincent,ahead 1-2,1,1,W 2-1,9,2,Out,F,b8,3-Jan,1,2(1-0),0,-0.04,-0.7,1.17,Bunt Popfly: 1B (Weak 1B)
6,6,1,4/5/2018,BOS,TBR,Andrew Kittredge,tied 2-2,0,1,W 3-2,9,2,Out/SH,T,b12,-2-,0,1(0-0),0,0.02,-0.19,2.54,Bunt Groundout: P-2B/Sacrifice (Weak 2B-1B); Bradley to 3B
7,7,1,2019-06-08 (2),BOS,TBR,Austin Pruitt,ahead 1-3,2,4,W 5-1,7,2,Out/SH,T,b6,12-,0,1(0-0),0,0,-0.11,0.96,Bunt Groundout: P-1B/Sacrifice (Short 1B Line); Chavis to 3B; Holt to 2B
8,8,1,8/9/2019,BOS,LAA,Justin Anderson,ahead 3-5,2,7,W 16-4,6,2,1B,F,b6,12-,0,1(0-0),0,0.04,0.83,0.96,Single to P (Bunt to Front of Home); Martinez to 3B; Benintendi to 2B
9,9,1,8/11/2019,BOS,LAA,Cam Bedrosian,tied 4-4,0,0,L 4-5,7,2,Out,F,b8,1--,0,1(0-0),0,-0.06,-0.39,2.58,Bunt Popfly: 1B (Weak 2B-1B)
10,10,1,8/16/2019,BOS,BAL,Aaron Brooks,ahead 1-3,2,5,W 9-1,6,2,Out/SH,T,b6,12-,0,2(0-1),0,0,-0.11,0.96,Bunt Groundout: C-1B/Sacrifice; Martinez to 3B; Benintendi to 2B
11,11,1,8/21/2019,BOS,PHI,Drew Smyly,ahead 0-2,2,2,L 2-5,7,2,Out/SH,T,b4,12-,0,2(1-0),0,0,-0.11,1.14,Bunt Groundout: 3B-1B/Sacrifice (Short 3B Line); Benintendi to 3B; Travis to 2B
12,12,1,4/19/2021,BOS,CHW,Lucas Giolito,ahead 1-2,1,5,W 11-4,5,2,1B,F,b1,12-,0,1(0-0),0,0.06,0.83,1.48,Single to 3B (Bunt to Weak 3B); Martinez to 3B; Devers to 2B
13,13,1,8/23/2021,BOS,TEX,Dennis Santana,tied 4-4,0,4,W 8-4,7,2,FC/SH,T,b11,-2-,0,2(1-0),0,0.12,0.72,2.5,Fielder's Choice /Sacrifice Bunt; Renfroe to 3B; Vázquez to 1B/Adv on E1 (throw)
