Yr#,Gm#,Date,Batter,Tm,Opp,Pitcher,Score,StSc,InnSc,Rslt,BOP,Pos,Event,SH?,Inn,RoB,Out,Pit(cnt),RBI,WPA,RE24,LI,Play Description
1,1,8/1/2020,Pedro Severino,BAL,TBR,Oliver Drake,tied 4-4,0,1,W 5-4,6,10,Out/SH,T,b11,-2-,0,1(0-0),0,0.01,-0.2,2.51,Bunt Groundout: P-1B/Sacrifice; Holaday to 3B
2,1,8/7/2020,Tony Kemp,OAK,HOU,Enoli Paredes,tied 1-1,0,0,W 3-2,9,4,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.19,2.57,Bunt Groundout: P-2B/Sacrifice (Front of Home); Barreto to 3B
3,1,8/11/2020,Danny Jansen,TOR,MIA,Stephen Tarpley,tied 4-4,0,1,W 5-4,9,2,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.19,2.54,Bunt Groundout: C-2B/Sacrifice; Alford to 3B
4,1,8/28/2020,Roman Quinn,PHI,ATL,Shane Greene,tied 4-4,0,0,W 7-4,9,8,1B,F,b10,-2-,0,2(0-1),0,0.12,0.72,2.51,Single to C (Bunt); Kingery to 3B
5,2,8/28/2020,Jean Segura,PHI,ATL,Mark Melancon,tied 4-4,0,3,W 7-4,5,5,Out/SH,T,b11,-2-,0,3(1-1),0,0.01,-0.2,2.51,Bunt Groundout: P-2B/Sacrifice (Front of Home); Realmuto to 3B
6,1,9/3/2020,Didi Gregorius,PHI,WSN,Sean Doolittle,tied 5-5,0,1,W 6-5,5,6,Out/SH,T,b10,-2-,0,2(0-1),0,0.01,-0.2,2.51,Bunt Groundout: P-1B/Sacrifice; Realmuto to 3B
7,1,9/4/2020,Luis Rengifo,LAA,HOU,Brooks Raley,tied 5-5,0,0,W 6-5,8,4,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.2,2.53,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Adell to 3B
8,1,9/11/2020,Michael A. Taylor,WSN,ATL,Mark Melancon,tied 7-7,0,0,W 8-7,5,7,Out,F,b10,-2-,0,3(0-2),0,-0.11,-0.46,2.52,Bunt Popfly: P (Front of Home)
9,2,9/11/2020,Carter Kieboom,WSN,ATL,Chris Martin,tied 7-7,0,0,W 8-7,8,5,Out,F,b11,-2-,0,2(0-1),0,-0.11,-0.46,2.52,Bunt Popfly: P
10,1,9/12/2020,Raimel Tapia,COL,LAA,Ty Buttrey,tied 2-2,0,0,L 2-5,1,7,Out/SH,T,b10,-2-,0,3(1-1),0,0.01,-0.23,2.4,Bunt Groundout: 3B-1B/Sacrifice (Front of Home); Díaz to 3B
11,1,4/18/2021,Eli White,TEX,BAL,Travis Lakins Sr.,tied 0-0,0,1,W 1-0,8,8,FC,F,b10,-2-,0,2(1-0),0,-0.18,-0.61,2.55,Fielder's Choice ; Culberson out at 3B/P-3B; White to 1B
12,1,4/29/2021,Pat Valaika,BAL,NYY,Jonathan Loáisiga,tied 3-3,0,1,W 4-3,9,4,Out/SH,T,b10,-2-,0,2(0-1),0,0.02,-0.19,2.54,Bunt Groundout: C-2B/Sacrifice; Urías to 3B
13,1,5/8/2021,Cristian Pache,ATL,PHI,Matt Moore,tied 7-7,0,1,W 8-7,8,8,FC/SH,T,b12,-2-,0,1(0-0),0,0.12,0.72,2.54,Fielder's Choice /Sacrifice Bunt; Contreras to 3B; Pache to 1B
14,1,5/13/2021,Jason Castro,HOU,TEX,Brett Martin,tied 3-3,0,1,W 4-3,9,2,Out/SH,T,b11,-2-,0,1(0-0),0,0.02,-0.19,2.54,Bunt Groundout: 3B-1B/Sacrifice (Short 3B Line); Straw to 3B
15,1,5/18/2021,Brian O'Grady,SDP,COL,Daniel Bard,tied 1-1,0,1,W 2-1,9,11,Out/SH,T,b10,-2-,0,2(1-0),0,0.02,-0.17,2.63,Bunt Groundout: 3B-1B/Sacrifice (P's Right); Mateo to 3B
16,1,5/27/2021,Keston Hiura,MIL,SDP,Miguel Díaz,tied 5-5,0,1,W 6-5,5,3,Out/SH,T,b10,-2-,0,2(1-0),0,0.02,-0.18,2.57,Bunt Groundout: 3B-1B/Sacrifice (Short 3B Line); Narváez to 3B
17,1,5/31/2021,Keston Hiura,MIL,DET,José Cisnero,tied 2-2,0,1,W 3-2,7,7,Out/SH,T,b10,-2-,0,1(0-0),0,0.02,-0.18,2.57,Bunt Groundout: 3B-2B/Sacrifice (Short 3B Line); Narváez to 3B
18,1,6/9/2021,Eli White,TEX,SFG,Jake McGee,tied 3-3,0,1,W 4-3,8,9,Out,F,b11,-2-,0,1(0-0),0,-0.11,-0.45,2.55,Foul Bunt Popfly: 3B (3B-C into Foul Terr.)
19,1,6/12/2021,Travis Jankowski,PHI,NYY,Aroldis Chapman,tied 7-7,0,1,W 8-7,9,11,FC/SH,T,b10,-2-,0,1(0-0),0,0.13,0.72,2.57,Fielder's Choice /Sacrifice Bunt; Torreyes to 3B; Jankowski to 1B/Adv on E1 (throw)
